date,trade_date,type,isin,name,ticker,quantity,currency,price_native,fx_rate,gross_eur,fees_eur,net_eur,instrument_kind,source
2022-04-05,2022-04-05,buy,US4781601046,Synthetic JNJ,JNJ,82,USD,199.5426,1.08,15150.46,19.0,-15169.46,STOCK,stress
2022-06-04,2022-06-04,buy,LU0290357929,Synthetic XGIN,XGIN,118,EUR,124.1926,1.0,14654.73,19.0,-14673.73,ETF,stress
2022-09-02,2022-09-02,buy,IT0009999999,Synthetic BTP99,BTP99,8000,EUR,99.0,1.0,7920.0,19.0,-7939.0,BOND,stress
2023-03-15,2023-03-15,dividend,US4781601046,Synthetic JNJ,JNJ,0.0,USD,,1.0,74.0,0.0,74.0,STOCK,stress
2023-09-20,2023-09-20,dividend,LU0290357929,Synthetic XGIN,XGIN,0.0,EUR,,1.0,52.0,0.0,52.0,ETF,stress
2023-11-08,2023-11-08,coupon,IT0009999999,Synthetic BTP99,BTP99,0.0,EUR,,1.0,140.0,0.0,140.0,BOND,stress
2024-03-15,2024-03-15,dividend,US4781601046,Synthetic JNJ,JNJ,0.0,USD,,1.0,74.0,0.0,74.0,STOCK,stress
2024-09-20,2024-09-20,dividend,LU0290357929,Synthetic XGIN,XGIN,0.0,EUR,,1.0,52.0,0.0,52.0,ETF,stress
2024-11-08,2024-11-08,coupon,IT0009999999,Synthetic BTP99,BTP99,0.0,EUR,,1.0,140.0,0.0,140.0,BOND,stress
2025-03-15,2025-03-15,dividend,US4781601046,Synthetic JNJ,JNJ,0.0,USD,,1.0,74.0,0.0,74.0,STOCK,stress
2025-09-20,2025-09-20,dividend,LU0290357929,Synthetic XGIN,XGIN,0.0,EUR,,1.0,52.0,0.0,52.0,ETF,stress
2025-11-08,2025-11-08,coupon,IT0009999999,Synthetic BTP99,BTP99,0.0,EUR,,1.0,140.0,0.0,140.0,BOND,stress
2026-03-15,2026-03-15,dividend,US4781601046,Synthetic JNJ,JNJ,0.0,USD,,1.0,74.0,0.0,74.0,STOCK,stress
2026-09-20,2026-09-20,dividend,LU0290357929,Synthetic XGIN,XGIN,0.0,EUR,,1.0,52.0,0.0,52.0,ETF,stress
2026-11-08,2026-11-08,coupon,IT0009999999,Synthetic BTP99,BTP99,0.0,EUR,,1.0,140.0,0.0,140.0,BOND,stress
